date,high,low,open,close,volume,quoteVolume,weightedAverage
1396500000,1e-06,1e-06,1e-06,1e-06,0.001,1000.0,1e-06
1396500300,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396500600,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396500900,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396501200,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396501500,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396501800,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396502100,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396502400,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396502700,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396503000,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396503300,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396503600,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396503900,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396504200,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396504500,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396504800,1e-06,1e-06,1e-06,1e-06,0.0,0.0,1e-06
1396505100,1.2e-06,1.1e-06,1.1e-06,1.2e-06,0.0023,2000.0,1.1499999999999998e-06
1396505400,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396505700,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396506000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396506300,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396506600,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396506900,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396507200,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396507500,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396507800,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396508100,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396508400,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396508700,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396509000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396509300,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396509600,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396509900,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396510200,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396510500,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396510800,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396511100,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396511400,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396511700,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396512000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396512300,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396512600,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396512900,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396513200,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396513500,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396513800,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396514100,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396514400,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396514700,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396515000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396515300,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396515600,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396515900,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396516200,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396516500,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396516800,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396517100,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396517400,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396517700,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396518000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
1396518300,1.2e-06,1.2e-06,1.2e-06,1.2e-06,0.0,0.0,1.2e-06
